2026-08-13 22:54:54 | INFO    | soil_agent           | Starting soil_agent...
2026-08-13 22:54:54 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-13 22:56:55 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-13 22:56:55 | INFO    | weather_agent        | Starting weather_agent...
2026-08-13 22:56:57 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-13 22:56:57 | INFO    | soil_agent           | Starting soil_agent...
2026-08-13 22:56:57 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-13 22:56:57 | INFO    | disease_agent        | Starting disease_agent...
2026-08-13 22:56:57 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-13 22:56:57 | INFO    | advisory_agent       | Starting advisory_agent...
2026-08-13 22:56:57 | ERROR   | llm_client           | LLM call failed: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'API key is invalid.'}, 'request_id': None}
2026-08-13 22:56:57 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-13 22:56:57 | INFO    | decision_agent       | Starting decision_agent...
2026-08-13 22:56:57 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-13 22:56:57 | INFO    | orchestrator         | Pipeline complete.
2026-08-13 23:50:59 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-13 23:50:59 | INFO    | weather_agent        | Starting weather_agent...
2026-08-13 23:51:01 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-13 23:51:01 | INFO    | soil_agent           | Starting soil_agent...
2026-08-13 23:51:01 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-13 23:51:01 | INFO    | disease_agent        | Starting disease_agent...
2026-08-13 23:51:01 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-13 23:51:01 | INFO    | advisory_agent       | Starting advisory_agent...
2026-08-13 23:51:01 | ERROR   | llm_client           | LLM call failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-08-13 23:51:01 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-13 23:51:01 | INFO    | decision_agent       | Starting decision_agent...
2026-08-13 23:51:01 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-13 23:51:01 | INFO    | orchestrator         | Pipeline complete.
2026-08-14 12:47:18 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-14 12:47:18 | INFO    | weather_agent        | Starting weather_agent...
2026-08-14 12:47:19 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-14 12:47:19 | INFO    | soil_agent           | Starting soil_agent...
2026-08-14 12:47:19 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-14 12:47:19 | INFO    | disease_agent        | Starting disease_agent...
2026-08-14 12:47:19 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-14 12:47:19 | INFO    | advisory_agent       | Starting advisory_agent...
2026-08-14 12:47:19 | ERROR   | llm_client           | LLM call failed: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}
2026-08-14 12:47:19 | INFO    | advisory_agent       | advisory_agent completed successfully.
2026-08-14 12:47:19 | INFO    | decision_agent       | Starting decision_agent...
2026-08-14 12:47:19 | INFO    | decision_agent       | decision_agent completed successfully.
2026-08-14 12:47:19 | INFO    | orchestrator         | Pipeline complete.
2026-08-14 18:35:27 | INFO    | orchestrator         | Pipeline starting with 5 agents.
2026-08-14 18:35:27 | INFO    | weather_agent        | Starting weather_agent...
2026-08-14 18:35:28 | INFO    | weather_agent        | weather_agent completed successfully.
2026-08-14 18:35:28 | INFO    | soil_agent           | Starting soil_agent...
2026-08-14 18:35:28 | INFO    | soil_agent           | soil_agent completed successfully.
2026-08-14 18:35:28 | INFO    | disease_agent        | Starting disease_agent...
2026-08-14 18:35:28 | INFO    | disease_agent        | disease_agent completed successfully.
2026-08-14 18:35:28 | INFO    | advisory_agent       | Starting advisory_agent...
